Day_of_week,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Service_year_of_vehicle,Accident_severity
Monday,18-30,Male,Employee,1-2yr,Above 10yr,Slight Injury
Monday,31-50,Male,Employee,Above 10yr,5-10yrs,Slight Injury
Monday,18-30,Male,Employee,1-2yr,,Serious Injury
Sunday,18-30,Male,Employee,5-10yr,,Slight Injury
Sunday,18-30,Male,Employee,2-5yr,5-10yrs,Slight Injury
Friday,31-50,Male,Unknown,,,Slight Injury
Wednesday,18-30,Male,Employee,2-5yr,,Slight Injury
Friday,18-30,Male,Employee,2-5yr,Above 10yr,Slight Injury
Friday,18-30,Male,Employee,Above 10yr,1-2yr,Slight Injury
Friday,18-30,Male,Employee,1-2yr,2-5yrs,Serious Injury
Saturday,18-30,Male,Owner,1-2yr,Unknown,Serious Injury
Saturday,31-50,Male,Employee,No Licence,,Serious Injury
Thursday,18-30,Male,Employee,1-2yr,2-5yrs,Slight Injury
Thursday,31-50,Male,Employee,5-10yr,Above 10yr,Slight Injury
Thursday,31-50,Male,Employee,Above 10yr,1-2yr,Serious Injury
Monday,18-30,Female,Employee,Above 10yr,,Serious Injury
Monday,18-30,Male,Owner,5-10yr,,Slight Injury
Monday,18-30,Male,Employee,2-5yr,,Serious Injury
Monday,18-30,Male,Employee,2-5yr,Above 10yr,Slight Injury
Tuesday,18-30,Male,Employee,Below 1yr,5-10yrs,Serious Injury
Tuesday,Under 18,Male,Employee,2-5yr,,Slight Injury
Thursday,18-30,Male,Employee,2-5yr,5-10yrs,Serious Injury
Thursday,18-30,Male,Employee,5-10yr,,Serious Injury
Thursday,31-50,Male,Employee,Above 10yr,,Serious Injury
Wednesday,18-30,Male,Unknown,,,Slight Injury
Wednesday,18-30,Male,Employee,2-5yr,Above 10yr,Slight Injury
Wednesday,18-30,Unknown,Employee,5-10yr,2-5yrs,Slight Injury
Friday,18-30,Male,Employee,2-5yr,2-5yrs,Slight Injury
Tuesday,Over 51,Unknown,Unknown,,,Slight Injury
Tuesday,18-30,Male,Employee,1-2yr,,Slight Injury
Monday,18-30,Male,Employee,2-5yr,,Slight Injury
Thursday,18-30,Male,Employee,Above 10yr,Below 1yr,Slight Injury
Thursday,18-30,Male,Employee,Below 1yr,5-10yrs,Slight Injury
Thursday,31-50,Unknown,Employee,2-5yr,,Slight Injury
Saturday,Over 51,Male,Employee,Below 1yr,1-2yr,Slight Injury
Saturday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Friday,18-30,Male,Employee,1-2yr,,Slight Injury
Friday,Over 51,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Friday,Over 51,Male,Unknown,,,Slight Injury
Sunday,Over 51,Male,Employee,Below 1yr,,Slight Injury
Sunday,31-50,Male,Employee,Below 1yr,Above 10yr,Slight Injury
Sunday,31-50,Male,Unknown,,5-10yrs,Slight Injury
Sunday,18-30,Male,Employee,2-5yr,,Slight Injury
Wednesday,18-30,Male,Employee,Above 10yr,Unknown,Slight Injury
Wednesday,18-30,Male,Employee,Above 10yr,,Slight Injury
